conversation_id,sampling_group,candidate_cluster,candidate_second_cluster,candidate_intent,candidate_domain,candidate_sub_intent,candidate_confidence,candidate_distance_best,candidate_ambiguity_margin,difficulty_score,n_messages,full_conversation_text,human_domain,human_intent,human_sub_intent,annotation_status,annotation_outcome,reviewer_notes,human_intent_r2,second_pass
231426,representative,2,8,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.4564,0.001,0.25,4,"CUSTOMER:
Literally 30 minutes into my travel experience and remembering why I haven't flown @AmericanAir in years. So bad.

AGENT:
@171114 What's going on, Katie? We love sharing the skies with you and want to help if we can.

CUSTOMER:
@AmericanAir My gate and terminal changed from the time I got into the security line and the time I got to the gate, with no notification from AA &amp; (1/2) @AmericanAir (2/2) no time to switch terminals &amp; still catch my flight. Customer service treated me like I was dumb for not knowing.

AGENT:
@171114 Our apologies, Katie. Our team is expected to always be professional and we're sorry the gate got switched on you.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
2344840,representative,2,8,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.4095,0.0365,0.1167,2,"CUSTOMER:
@AmericanAir It’s one thing to cancel the flight. Far worse to not come out and face the crowds. https://t.co/WuaGbVWeyX

AGENT:
@678076 We avoid cancellations whenever possible and truly apologize. A gate agent will be there to help as soon as they're available. @678076 You can also send us a DM with your record locator and we'll take a look at the next available flight.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,ACCEPT,"Itinerary disruption involving cancellation, missed connection, diversion, or rebooking.",,False
2352468,representative,7,8,Service complaint,Customer service,"Agent, staff, responsiveness, or support quality",high,0.4911,0.1045,0.0667,6,"CUSTOMER:
Pretty disappointed with @AmericanAir CS right now. Really struggling to see how customer loyalty is important to them

AGENT:
@679822 We very much appreciate your loyalty and always want to provide excellent service. How can we help you today?

CUSTOMER:
@AmericanAir I’ve got an issue with my elite status

AGENT:
@679822 Have you spoken with our specialists in AAdvantage Customer Service yet? If not, please give them a call at 800-882-8880.

CUSTOMER:
@AmericanAir yes I have. That’s why I’m upset about this

AGENT:
@679822 Please DM your AAdvantage account number and the issue you're having and we'll be happy to take a closer look.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,ACCEPT,Candidate intent 'Service complaint' is coherent with the conversation context.,,False
2356990,representative,8,2,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.3535,0.0501,0.45,8,"CUSTOMER:
Also, never flying with @AmericanAir again. Awful customer service, terribly hate agents and rude flight attendants. #boo

CUSTOMER:
@440076 @AmericanAir What happened?

CUSTOMER:
@680877 @AmericanAir Also, a flight attended was rude and condescending to both Jesse and I️.

AGENT:
@440076 We count on every team member to be polite and professional at every touch point. Our apology for any rudeness you may have encountered.

CUSTOMER:
@AmericanAir Thanks! It’s been super tough. We’ve been promised a “gesture of goodwill” since we were delayed 16+ hours 2 weeks ago, nothing yet. @AmericanAir We were told CS would contact us, then CS told us contact a gate agent, who said go to customer support again. Always handed off :( @AmericanAir Then we were told we had to go back through customs and recheck bags even though we did once in Dublin! TSA helped us avoid wasting hours

AGENT:
@440076 Did you write into Customer Relations? Please send the reference number in DMs, so we can take a look.

CUSTOMER:
@AmericanAir We haven’t emailed, but Customer support did take our info over the phone twice. We will write in and DM you ❤️

AGENT:
@440076 Sounds like a plan! We'll be waiting for your DM.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,CHANGE_INTENT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,False
2362068,representative,9,2,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.565,0.0582,0.1774,3,"CUSTOMER:
Can I get to SCL or PUQ on AAdvantage miles from literally any airport in South America? Arrival date Jan 16 2018, I can start the journey as early as Jan 14. Ideally origin from as close to Medellin, Colombia as possible @AmericanAir

AGENT:
@682048 This would be a great question for our AAdvantage team. Please give them a call at 800-882-8880 and they'll be happy to check for you.

CUSTOMER:
@AmericanAir Thank you, yes I did. It was not a helpful call. I will try again and hope for a different agent.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,True
2410915,representative,0,1,Positive experience,Experience,Flight or crew praise,high,0.4364,0.0633,0.1227,2,"CUSTOMER:
And off to Dallas, again #worklife #travel @americanair https://t.co/9wx18zVoRk https://t.co/9GqyUJjUrR

AGENT:
@693186 Great to see you again! It's going to be an excellent flight.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
2513224,representative,5,9,Seats and fares,Seating and fares,"Seat assignment, upgrade, basic fare, or paid seating",high,0.7246,0.0161,0.2,2,"CUSTOMER:
Cada vez es peor volar en @AmericanAir. En su mínimo espacio entre asientos ya es imposible abrir una laptop. Ya que es difícil trabajar en esas condiciones uno puede pensar «veré una película», pero los audífonos se les acaban. Además los vuelos salen retrasados (casi) siempre😑

AGENT:
@716216 We do offer Main Cabin Extra seats that offer up to six extra inches of room. For more info see: https://t.co/N9kHMrvr7b",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,ACCEPT,Candidate intent 'Seats and fares' is coherent with the conversation context.,,False
2518509,representative,3,8,Positive experience,Experience,Flight or crew praise,high,0.5787,0.0066,0.1738,2,"CUSTOMER:
Stranded in Chicago last night but impressed with @AmericanAir and @97751 handling. Class act on all fronts in light of less than ideal circumstances.

AGENT:
@717402 We're sorry that you had to stay overnight, we're glad you made the best of the situation. Thanks for your kind words.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,CHANGE_INTENT,"Itinerary disruption involving cancellation, missed connection, diversion, or rebooking.",,False
2526501,representative,6,4,Baggage issues,Baggage,"Lost, delayed, damaged, checked, or carry-on baggage",high,0.3598,0.1201,0.0667,5,"CUSTOMER:
Hey @AmericanAir, you just forced me to check my small carry-on bag and then lost it! I’m on a work trip for less than 24 hours and need that bag NOW. #AmericanAirlines

AGENT:
@719393 Please file a claim with our Baggage team at the airport so we can reunite you quickly.

CUSTOMER:
@AmericanAir I did.

AGENT:
@719393 Then our Baggage team is already on it, Laudan. Our apologies for the delayed bag.

CUSTOMER:
@AmericanAir We’ll see.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,ACCEPT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,False
2540448,representative,9,5,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.5064,0.0413,0.0,4,"CUSTOMER:
Does your LAX to HNL flight have Flat Bed in First Class? @AmericanAir

AGENT:
@568436 It depends on the aircraft you're flying on. DM your record locator and we'll take a peek.

CUSTOMER:
@AmericanAir I haven't booked the flights yet, I wanted to check which flights are flat beds. Looking at 28th Aug from LAX coming back Sept 1st from HNL to LAX

AGENT:
@568436 Our Reservations team can take a look in more detail for you. Give them a call at 800-433-7300.",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
2557598,representative,2,6,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.6585,0.0047,0.2667,2,"CUSTOMER:
42 airlines around the world stopped transporting hunting trophies - please don't change policy now! @Delta @AmericanAir @VirginAtlantic @116450 @British_Airways Trophy hunting without science is part of the problem not the solution

AGENT:
@726110 American has no plans to change our ban on the transport of animal trophies.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,ACCEPT,Candidate intent 'Disruption recovery' is coherent with the conversation context.,,True
2565972,representative,7,8,Service complaint,Customer service,"Agent, staff, responsiveness, or support quality",high,0.5392,0.0107,0.3833,2,"CUSTOMER:
@AmericanAir you're female gate agent at CLT/B4 (CLT-BOS) yesterday was rather abrasive. The fact that they don't know what they're doing is just a bonus. Why can't you be more like @JetBlue? Always a good experience with them...

AGENT:
@218347 We count on all of our co-workers to take great care of our customers. Our apology for any abrasiveness you may have experienced yesterday.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,ACCEPT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
2575576,representative,3,0,Positive experience,Experience,Flight or crew praise,high,0.3963,0.0711,0.1667,2,"CUSTOMER:
@AmericanAir kudos to Ashlee flight 566 PHL - CLT,! Great smile; great friendly service. I appreciate all that you do for me,

AGENT:
@589124 We're absolutely thrilled to send Ashlee and her #AATeam your kind words!",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,"Explicit positive feedback praising airline personnel, flight service, or assistance.",,False
2578966,representative,1,7,Social acknowledgement,Social,Thanks or casual mention,medium,0.5757,0.0234,0.2442,4,"CUSTOMER:
.@AmericanAir @Delta @116450 please keep your ban in place in terms of shipment of ""trophies"" of hunting these magnificent creatures- and others https://t.co/SJUcOtP934

AGENT:
@731136 American has no plans to change our ban on the transport of animal trophies.

CUSTOMER:
@AmericanAir Thank you!!

AGENT:
@731136 You're welcome!",Social,Social acknowledgement,"Greeting, casual mention, or bare thanks",reviewed,ACCEPT,Candidate intent 'Social acknowledgement' is coherent with the conversation context.,,False
2591042,representative,9,4,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.4041,0.0613,0.1087,2,"CUSTOMER:
@AmericanAir are your flights ever on time? Guess this is my lot in life for not flying @SouthwestAir like I always do.

AGENT:
@658743 We'd like to check on an update for you. What's the flight number?",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,False
2592403,representative,5,8,Seats and fares,Seating and fares,"Seat assignment, upgrade, basic fare, or paid seating",high,0.4595,0.0006,0.05,4,"CUSTOMER:
.@AmericanAir I fly your smaller regional jets 3 - 6 times a month &amp; have never experienced this before Laurette the flight attendant on 3758 tonight. Please send pics of what a carry on is. Lots of folks stuffed all types of carry-ons overhead - I was the 2nd passenger on board.

AGENT:
@732404 We depend on our crews to make the determination of whether or not a bag should be valet checked. Our apologies again.

CUSTOMER:
@AmericanAir @732404 No need to apologize. He just voted to raise your taxes and take medical coverage away from the most vulnerable Americans.

CUSTOMER:
@734186 @AmericanAir @732404 False, snowflake.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,CHANGE_INTENT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,True
2607130,representative,3,0,Positive experience,Experience,Flight or crew praise,high,0.4498,0.0118,0.1833,5,"CUSTOMER:
@AmericanAir -thank you so much for accommodating me in changing my flight.
#youguysrock

AGENT:
@720143 We're glad we could help! Have a fantastic day.

CUSTOMER:
@AmericanAir And I'm not even ""Elite"" member or anything...

AGENT:
@720143 You're always elite to us, Larry. #thankful

CUSTOMER:
@AmericanAir Please tell my agent that.
#actorslife",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
2626476,representative,9,4,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.5785,0.0029,0.1896,2,"CUSTOMER:
Bon je crois que je vais louper mon train demain à cause de l'avion. :-) Merci hein @americanair

AGENT:
@741854 We're sorry for the wait, Ruby. If you need rebooking, please DM your record locator.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,Candidate intent 'Flight information' is coherent with the conversation context.,,False
2735001,representative,6,8,Baggage issues,Baggage,"Lost, delayed, damaged, checked, or carry-on baggage",high,0.4634,0.045,0.2083,7,"CUSTOMER:
Hey @AmericanAir,  I flew in from CVG with a bag that was cleared for basic economy but going home with same bag and items I’m made to check it departing JFK. The AA employee guarding the entry to TSA said “I don’t care what they do in Cincinnati. This is JFK” Consistency please?

AGENT:
@766513 Consistency is key and we're sorry the bag had to be checked. Our team will make sure you receive it upon arrival.

CUSTOMER:
@AmericanAir I appreciate it but receiving my bag on arrival isn't the same as not making my check my fragile hard drives, laptop and Kindle. This is the second time I've flown AA from JFK and the second time I've felt severely mistreated as a customer.

AGENT:
@766513 We're sorry your travel didn't go as planned, Andrew. We do try to be consistent in all airports, we clearly missed the mark with you.

CUSTOMER:
@AmericanAir Is it possible to get a refund for this bag as a sign of good faith? It’s only $25... 

I appreciate your response.

AGENT:
@766513 The checked bag charge is nonrefundable, our apologies for any inconvenience this had to your travel plans.

CUSTOMER:
@AmericanAir Yeah. That’s what I figured. Frontier didn’t have a problem with this bag and their flight was cheaper. Next time.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,ACCEPT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,True
2745081,representative,7,8,Service complaint,Customer service,"Agent, staff, responsiveness, or support quality",high,0.528,0.0031,0.25,4,"CUSTOMER:
@AmericanAir just provided me with the absolute worst customer service I have ever seen. We were yelled at 3 times and demanded to leave the gate area just for asking a question. The lady working the desk should be fired. I have NEVER been so disrespected. Unacceptable!!!!

AGENT:
@768791 Agents are always expected to be professional and we sincerely apologize for any rudeness. We appreciate you letting us know about this.

CUSTOMER:
@AmericanAir Completely unacceptable. I will be notifying media outlets both at home in Seattle as well as Phoenix.

AGENT:
@768791 We never want to disappoint you. You're welcome to share the details of what happened in DMs.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,ACCEPT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
2784956,representative,1,3,Social acknowledgement,Social,Thanks or casual mention,medium,0.4765,0.0754,0.3667,2,"CUSTOMER:
Thanks for the AAmazing upgrade, @AmericanAir!  💜 https://t.co/6pyuNLv32d

AGENT:
@131501 You're welcome, Chris. Give Teddy a hug from us and enjoy sitting #upfront!",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
278757,representative,1,7,Social acknowledgement,Social,Thanks or casual mention,medium,0.7076,0.0129,0.4393,2,"CUSTOMER:
@HiltonHelp @AmericanAir you both have the best cookies, but it's not helping my keto life style. Seriously amazing cookies

AGENT:
@182474 Aren't the delicious? Save a bite for us!",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,CHANGE_INTENT,"Explicit positive feedback praising airline personnel, flight service, or assistance.",,False
2792386,representative,5,8,Seats and fares,Seating and fares,"Seat assignment, upgrade, basic fare, or paid seating",high,0.3878,0.1052,0.2083,4,"CUSTOMER:
Why do I fly @AmericanAir still? Not cheap, cramped seats and now they randomly assign bad seats to you at check-in apparently. Not happy. #AmericanAirlines

AGENT:
@779310 Sounds like you have a Basic Economy ticket. Our Main Cabin tickets allow for choice of seat.

CUSTOMER:
@AmericanAir Wrong. It's an award ticket. You stuck me in a preferred seat that's a middle seat plenty of other aisle seats to choose.

AGENT:
@779310 Please DM your record locator, we'll check on aisle seats.",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,ACCEPT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
2800733,representative,3,0,Positive experience,Experience,Flight or crew praise,high,0.4248,0.0537,0.2873,2,"CUSTOMER:
@AmericanAir smooth sailing through the Memphis Airport tonight. THANKS to your courteous gate agents!!! But nothing compares to DFW agents!

AGENT:
@236123 We love to hear of a job well done! Thanks for the kind words to our #AATeam.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
2807910,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.379,0.0864,0.1417,8,"CUSTOMER:
@AmericanAir - 5 hour delay. 1st mechanical issues, now no crew - flight 725 - Charlotte NC to LAX -must do better!

AGENT:
@783102 We hear you and are currently looking for a crew for your flight. Thanks for your patience and our apologies for the wait.

CUSTOMER:
@AmericanAir We were told a crew was in route.  Is that not the case? We have been patient but just want to get home tonight.  5 1/2 hours is too long.

AGENT:
@783102 We understand and assure you that the airport team has the most up to date info, Michelle.

CUSTOMER:
@AmericanAir I think travel vouchers are  the right thing for all of us VERY patient travelers. Agreed?

AGENT:
@783102 We appreciate you hangin' in there with us. Once you reach your destination please send us a DM, and we'll take a closer look.

CUSTOMER:
@AmericanAir Just sent a DM

AGENT:
@783102 We' see your DM, and will reply back soon.",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,"Dominant issue is late departure, arrival, or tarmac/gate wait with flight still operating.",,False
2820200,representative,4,8,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4599,0.0313,0.1525,2,"CUSTOMER:
@AmericanAir standard American Airlines flight, delayed because they didn’t book any flight attendants. #WorstAirline #disappointing

AGENT:
@786056 We're working hard to get you in the air as quickly as possible. Sorry for the late start.",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,"Dominant issue is late departure, arrival, or tarmac/gate wait with flight still operating.",,False
2831302,representative,0,1,Positive experience,Experience,Flight or crew praise,high,0.4547,0.0663,0.1987,2,"CUSTOMER:
@AmericanAir great that you offer internet service now in flights to and from USA. Congratulations!

AGENT:
@788340 We love keeping you connected up high in the skies!",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,"Explicit positive feedback praising airline personnel, flight service, or assistance.",,True
2833848,representative,8,2,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.5415,0.0051,0.2951,2,"CUSTOMER:
@AmericanAir these old USAir A321s are only masked with new vinyl seats in 1st. No outlets, no tech, seats too close. No breakfast served on flight 600!?! Always regret flying through #CLT. Old, overcrowded Admirals Clubs too.

AGENT:
@788881 We're sorry your travel isn't going as well as you hoped, Scott. We're working as fast as we can to get our fleet updated.",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
2841307,representative,6,4,Baggage issues,Baggage,"Lost, delayed, damaged, checked, or carry-on baggage",high,0.5418,0.0327,0.1533,2,"CUSTOMER:
And guess what @AmericanAir ? We finally made it to LIT! (Should have arrived at 9:30pm last night)
But.. the only bagage service counter closed is yours... top notch service all the way to the end! #PaxEx #AmericanAirlines #neveragain

AGENT:
@743414 Our baggage office is supposed to be open 6a-1230a. Did you ask for a supervisor to help you?",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,CHANGE_INTENT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,True
2843221,representative,8,7,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.4908,0.0239,0.3833,3,"CUSTOMER:
What terrible service from @AmericanAir. Poor infotainment system (did not work) , rude cabin crew and an overall unpleasant experience #neveragain

AGENT:
@790999 We expect our crew to be friendly and we're sorry you didn't get that. DM your record locator and we'll take a look.

CUSTOMER:
@AmericanAir Ok will do. Thanks for a swift reply",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
2856094,representative,2,8,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.5562,0.0029,0.188,2,"CUSTOMER:
@AmericanAir all your hostesses are old? With 0 sympathy? Plus the WiFi doesn’t work!!! Worst company ever!!!

AGENT:
@793852 We know staying connected during the flight is important. Our apologies the Wi-Fi wasn't up and running today.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,CHANGE_INTENT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,True
2872100,representative,8,2,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.4677,0.0316,0.3167,4,"CUSTOMER:
@AmericanAir on flight 1347 1st class from LAX to DFW. Not feeling the love tonight from AA. Just a real bad turkey wrap for dinner, no garnishes, lemon, lime not even hot towels to clean hands. Just asked for milk guess what? No milk either. ☹️

AGENT:
@797454 We're very sorry about that. We're working hard to have our catering back up to normal out of LAX.

CUSTOMER:
@AmericanAir As a courtesy U should let your customers know ahead of time so we could have brought food or eaten at airport. AA has our phone number &amp; email, not cool to ignore that communication to first class platinum passengers who pay full price for a fare. Why no hot towels?

AGENT:
@797454 We strive to keep you informed. Our apologies.",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
2920875,representative,2,6,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.4944,0.005,0.344,4,"CUSTOMER:
@AmericanAir Booked flights for my partner &amp; I. When checking-in for return leg, my partner's booking was missing from reservation! An hour of needless panic ensued b4 we discovered u split the reservation w/o telling us -no email or anything! My partner lost his free bag too :(

AGENT:
@144634 The split was done at the airport on your departure day. We double checked and bag charges weren't collected.

CUSTOMER:
@AmericanAir My partner didn't check his bag to avoid the charge, but he wanted to. Also, why was the reservation split at departure airport (JFK)? We checked-in online and didn't interact with anyone at JFK on outbound flight. Also, why were we not emailed about new reservation #? Thanks

AGENT:
@144634 Please meet us in DM as we'd like to share some private information.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,CHANGE_INTENT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,False
294499,representative,7,9,Service complaint,Customer service,"Agent, staff, responsiveness, or support quality",high,0.5392,0.0936,0.1347,2,"CUSTOMER:
I have been unable to get a live person on the phone all day, which is adding to rising concerns. Support requested @AmericanAir  Thank you

AGENT:
@186128 We'd be happy to help from here, Jessica. Please send a DM our way, and let us know what we can do to help.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,ACCEPT,Candidate intent 'Service complaint' is coherent with the conversation context.,,False
2951813,representative,1,3,Social acknowledgement,Social,Thanks or casual mention,medium,0.3903,0.0524,0.1883,3,"CUSTOMER:
Shoutout to @AmericanAir. The service has been a lil impeccable.

AGENT:
@815080 We're always striving to give you the best experience. We're glad to have you on board!

CUSTOMER:
@AmericanAir 👌🏾",Social,Social acknowledgement,"Greeting, casual mention, or bare thanks",reviewed,ACCEPT,Candidate intent 'Social acknowledgement' is coherent with the conversation context.,,True
301976,representative,0,1,Positive experience,Experience,Flight or crew praise,high,0.4953,0.0192,0.172,2,"CUSTOMER:
On @AmericanAir 748 headed to #Madrid then on to #Malaga #travel https://t.co/j4IxcBxD4N

AGENT:
@188050 We're so happy to have you on board with us today, Courtney. Enjoy your trip!",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
308031,representative,2,4,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.5193,0.0038,0.1746,2,"CUSTOMER:
On another long phone hold w @AmericanAir to fix their mistake. #Badcustomerservice from #monpoly #airline in #Charlotte.

AGENT:
@189544 Our sincere apologies as we know your time is valuable. Thanks for your patience.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,ACCEPT,Candidate intent 'Disruption recovery' is coherent with the conversation context.,,True
309003,representative,8,2,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.4557,0.0471,0.125,3,"CUSTOMER:
Never flyin @AmericanAir again! They're completely unprofessional! Glad I have footage of not only me being mistreated but another passenger

AGENT:
@189789 We'd like to hear more information. Please meet us in DM with your record locator and let us know what happened.

CUSTOMER:
@AmericanAir @189789 Fuck outta here😂😂",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
310657,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4187,0.0604,0.1507,2,"CUSTOMER:
Only time I’ve ever wished my inbound flight delayed. Here’s hoping #AA1435 cant get to gate either. @AmericanAir @AmericanAir Correction: connecting aircraft on inbound. #Tired

AGENT:
@190113 We've got our #WingsCrossed you make it Alex!",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,"Dominant issue is late departure, arrival, or tarmac/gate wait with flight still operating.",,False
316610,representative,0,3,Positive experience,Experience,Flight or crew praise,high,0.5167,0.0131,0.207,2,"CUSTOMER:
@AmericanAir great crew from LAX to LIH thank u! Miss the @121909 757 2 the islands the @117420 is a sad ugly replacement to the 75

AGENT:
@118749 It was our pleasure to have you fly with us to the Land of Aloha! Have a fabulous time. #sunsandandwind",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,"Explicit positive feedback praising airline personnel, flight service, or assistance.",,True
338940,representative,3,1,Positive experience,Experience,Flight or crew praise,high,0.6112,0.0077,0.2776,2,"CUSTOMER:
@AmericanAir You are our hero”  Thank you video from PR family received life saving generator for dialysis https://t.co/ZFuHaVViFC #aateam

AGENT:
@186625 We're always working to help the people in the communities we serve, Monica. We appreciate your kind words.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
374013,representative,8,2,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.5415,0.0227,0.2702,3,"CUSTOMER:
@AmericanAir you've got a busted monitor in seat 34f on flight 2352. Sucked sitting here not able to hear the movie. I can't read lips.

AGENT:
@204655 Was this just at your seat, and did you let our crew know? We'll be sure to share this with the right team, and we apologize.

CUSTOMER:
@AmericanAir Just at my seat. Crew was busy.",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
37747,representative,1,7,Social acknowledgement,Social,Thanks or casual mention,medium,0.561,0.0088,0.3106,2,"CUSTOMER:
@AmericanAir I wish you all had a click to chat function on your website.

AGENT:
@124199 We see your tweets and we'll review and respond back in DMs.",Social,Social acknowledgement,"Greeting, casual mention, or bare thanks",reviewed,ACCEPT,Candidate intent 'Social acknowledgement' is coherent with the conversation context.,,True
380572,representative,9,2,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.4666,0.0312,0.0667,4,"CUSTOMER:
@AmericanAir Hello, I have a flight booked with yourselves tomorrow (booking through BA) but it won't allow me to check in online?

AGENT:
@206274 Our team at the airport will take excellent care of you, Adam.

CUSTOMER:
@AmericanAir So is there no way I can check in online now for my flight?

AGENT:
@206274 Give our web support team a call and we'll see if we can get this taken care of: https://t.co/9JTaYxpILx",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,Candidate intent 'Flight information' is coherent with the conversation context.,,False
38363,representative,4,9,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4986,0.0239,0.3183,2,"CUSTOMER:
@AmericanAir no gate agent at Gate 49A at LAX and we are supposed to board in 7 minutes. Pilots &amp; crew here. #wherestheagent

AGENT:
@124347 We'll have you on your way ASAP, what's your flight number?",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
